job_id,title,department,location,date_posted,time_scraped,url,company_intro,role_description,listings
de_24632486_3p,Data Scientist,Business Intelligence,"US, WA, Seattle",2016-10-31,2017-02-12 03:47:59.152670,https://www.amazon.jobs/en/jobs/457908,,"The Inventory Planning and Control (IPC) team owns Amazon’s global inventory management systems: we decide what, when, where, and how much we should buy to meet Amazon’s business goals and to make our customers happy. We do this for millions of items, for hundreds of product lines worth billions of dollars of inventory world-wide. Our systems are built entirely in-house, and are on the cutting edge in automated large-scale business, inventory and supply chain planning and optimization systems. IPC fosters new game-changing ideas, continuously improves, creating ever more intelligent and self-learning systems to maximize the efficiency of Amazon's inventory investment and placement decisions. IPC is unique in that we’re simultaneously developing the science of supply chain planning and solving some of the toughest computational challenges at Amazon. Unlike many companies who buy existing off-the-shelf planning systems, IPC is responsible for studying, designing, and building systems to suit Amazon’s needs. We are on the forefront of supply chain thought leadership and work on some of the most difficult problems in the industry with some of the best research scientists and software developers in the business.<br/><br/>The IPC Automation team seeks an experienced and motivated Data Scientist/Business Intelligence Engineer/Business Analyst with outstanding leadership skills, proven ability to develop, enhance, automate, and manage analytics models using strong quantitative skills. The successful candidate will have strong data mining and modeling skills and is comfortable facilitating ideation and working from concept through to execution. This role will also build tools and support structures needed to analyze data, dive deep into data to determine root cause of forecast/buying systems errors & changes, and present findings to business partners to drive improvements.<br/><br/>A qualified candidate must have demonstrated ability to manage medium-scale modeling projects, identify requirements and build methodology and tools that are statistically grounded but also explainable operationally, apply technical skills allowing the models to adapt to changing attributes. In addition to the modeling and technical skills, possess strong written and verbal communication skills, strong focus on customers and professional demeanor and high intellectual curiosity with ability to learn new concepts/frameworks, algorithms and technology rapidly as changes arise.<br/>Additional responsibilities may include:<br/>• Research machine learning algorithms and implement by tailoring to particular business needs and tested on large datasets.<br/>• Manipulating/mining data from database tables (Redshift, Oracle, Data Warehouse)<br/>• Create automated metrics using complex databases<br/>• Providing analytical network support to improve quality and standard work results<br/>• Root cause research to identify process breakdowns within departments and providing data through use of various skill sets to find solutions to breakdown<br/>• Foster culture of continuous engineering improvement through mentoring, feedback, and metrics<br/>","[{""elements"": [""3+ years of strong quantitative and qualitative experience in Logistics/Supply Chain, Transportation, Engineering or Business experience<br/> Bachelor's Degree in Engineering, Math, Statistics, Finance, Computer Science, or related industry experience<br/> Experience with statistical analysis, regression modeling and forecasting, time series analysis, data mining, financial analysis, and demand modeling<br/> Experience in Statistical Software such as R, SAS, SPSS, MINITAB<br/> Proficiency with TABLEAU, Microsoft Excel to include making charts, data manipulation, pivot tables, creating macros, and visual basic knowledge<br/> Able to write SQL scripts for analysis and reporting ( SQL, MySQL)<br/> Experience using one or more Python, VBA, MATLAB, Java, C++ programming languages<br/> Experience processing, filtering, and presenting large quantities (100K to Millions of rows) of data""], ""type"": ""Basic Qualifications""}, {""elements"": [""Master\u2019s degree or higher in Engineering, Math, Finance, Statistics, Computer Science, or other technical field from an accredited university<br/> Excellent written and verbal communication skills. The role requires effective communication with colleagues from machine learning, economics and business backgrounds<br/> Experience working in a fast-paced, high tech environment (preferably software development) - Experience working in or with a complex international supply chain management organization<br/> Demonstrated experience incubating and commercializing new ideas, working closely with product managers, research scientists and technical teams from concept generation through implementation""], ""type"": ""Preferred Qualifications""}]"
de_24584959_qa,Data Scientist,Business Intelligence,"US, WA, Seattle",2016-09-29,2017-02-12 03:47:59.162245,https://www.amazon.jobs/en/jobs/448259,,"The Inventory Planning and Control (IPC) team owns Amazon’s global inventory management systems: we decide what, when, where, and how much we should buy to meet Amazon’s business goals and to make our customers happy. We do this for millions of items, for hundreds of product lines worth billions of dollars of inventory world-wide. Our systems are built entirely in-house, and are on the cutting edge in automated large-scale business, inventory and supply chain planning and optimization systems. IPC fosters new game-changing ideas, continuously improves, creating ever more intelligent and self-learning systems to maximize the efficiency of Amazon's inventory investment and placement decisions. IPC is unique in that we’re simultaneously developing the science of supply chain planning and solving some of the toughest computational challenges at Amazon. Unlike many companies who buy existing off-the-shelf planning systems, IPC is responsible for studying, designing, and building systems to suit Amazon’s needs. We are on the forefront of supply chain thought leadership and work on some of the most difficult problems in the industry with some of the best research scientists and software developers in the business.<br/><br/>The IPC Automation team seeks an experienced and motivated Data Scientist/Business Intelligence Engineer/Business Analyst with outstanding leadership skills, proven ability to develop, enhance, automate, and manage analytics models using strong quantitative skills. The successful candidate will have strong data mining and modeling skills and is comfortable facilitating ideation and working from concept through to execution. This role will also build tools and support structures needed to analyze data, dive deep into data to determine root cause of forecast/buying systems errors & changes, and present findings to business partners to drive improvements.<br/><br/>A qualified candidate must have demonstrated ability to manage medium-scale modeling projects, identify requirements and build methodology and tools that are statistically grounded but also explainable operationally, apply technical skills allowing the models to adapt to changing attributes. In addition to the modeling and technical skills, possess strong written and verbal communication skills, strong focus on customers and professional demeanor and high intellectual curiosity with ability to learn new concepts/frameworks, algorithms and technology rapidly as changes arise.<br/>Additional responsibilities may include:<br/>• Research machine learning algorithms and implement by tailoring to particular business needs and tested on large datasets.<br/>• Manipulating/mining data from database tables (Redshift, Oracle, Data Warehouse)<br/>• Create automated metrics using complex databases<br/>• Providing analytical network support to improve quality and standard work results<br/>• Root cause research to identify process breakdowns within departments and providing data through use of various skill sets to find solutions to breakdown<br/>• Foster culture of continuous engineering improvement through mentoring, feedback, and metrics<br/>","[{""elements"": [""5+ years of strong quantitative and qualitative experience in Logistics/Supply Chain, Transportation, Engineering or Business experience<br/> Bachelor's Degree in Engineering, Math, Statistics, Finance, Computer Science, or related industry experience<br/> Experience with statistical analysis, regression modeling and forecasting, time series analysis, data mining, financial analysis, and demand modeling<br/> Experience in Statistical Software such as R, SAS, SPSS, MINITAB<br/> Proficiency with TABLEAU, Microsoft Excel to include making charts, data manipulation, pivot tables, creating macros, and visual basic knowledge<br/> Able to write SQL scripts for analysis and reporting ( SQL, MySQL)<br/> Experience using one or more Python, VBA, MATLAB, Java, C++ programming languages<br/> Experience processing, filtering, and presenting large quantities (100K to Millions of rows) of data""], ""type"": ""Basic Qualifications""}, {""elements"": [""Master\u2019s degree or higher in Engineering, Math, Finance, Statistics, Computer Science, or other technical field from an accredited university<br/> Excellent written and verbal communication skills. The role requires effective communication with colleagues from machine learning, economics and business backgrounds<br/> Experience working in a fast-paced, high tech environment (preferably software development) - Experience working in or with a complex international supply chain management organization<br/> Demonstrated experience incubating and commercializing new ideas, working closely with product managers, research scientists and technical teams from concept generation through implementation""], ""type"": ""Preferred Qualifications""}]"
as_24623486_um,Data Scientist,Research Science,"US, WA, Seattle",2016-11-03,2017-02-12 03:47:59.175569,https://www.amazon.jobs/en/jobs/459017,,"Amazon disrupted many things - the way we shop, the way we read books and the way we use computational resources, just to name a few. In each case Amazon provided an awesome customer experience in a large part due to effectively using the immense data we have. The A1.492 team is a new division within Amazon with a charter to continue the tradition of creating disruptive technologies that will have a lasting impact on the society and data science is a big part of this mission. Together with a highly multi-disciplinary team of scientist, engineers, strategic partners, product managers and subject domain experts you will work on building products powered by big data. You will work on the world's best cloud computing platform, with cutting edge big data tools at your disposal while having unparalleled access to best software development and machine learning experts.<br/><br/><br/>RESPONSIBILITIES<br/>- Develop scalable data processing pipelines<br/>- Perform exploratory data analysis and develop predictive models<br/>- Collaborate with other engineers, and scientists to find effective solutions to technical challenges<br/>- Analyze data covering a wide range of modalities (transactions, text, image etc)<br/>- Communicate findings from complex analysis and modeling in a clear and effective manner<br/>- Provide input for product road-maps<br/><br/>","[{""elements"": [""- MSc in computer science, statistics, neuroscience, engineering, mathematics, or physics<br/>- Solid understanding of foundational statistics concepts and ML algorithms: linear/logistic regression, random forest, boosting, GBM, NNs, etc.<br/>- Passion for learning (new problem domains, algorithms, tools etc) and for for analyzing data<br/>- Fluency in at least one of Python, Java, Scala, C/C++<br/>- Fluency with Unix/Linux systems<br/>- Ability to access, manage, transfer, integrate and analyze complex datasets, especially using SQL<br/>- Experience with scikit-learn and pandas (or equivalent tools)<br/>""], ""type"": ""Basic Qualifications""}, {""elements"": [""- Ph.D. degree (preferred) in computer science, statistics, neuroscience, engineering, mathematics, or physics<br/>- Experience with advanced ML models and concepts: HMMs, CRFs, MRFs, deep learning, regularization etc.<br/>- 2+ years of industry experience in data science or related areas<br/>- Experience with working on large data sets, especially with Hadoop and Spark<br/>- Experience with distributed databases such as MongoDB, HBase, Cassandra etc<br/>- Experience with cloud computing platforms such as AWS<br/>- Experience with data visualization tools such as Tableau, D3.js<br/>""], ""type"": ""Preferred Qualifications""}]"
as_24627770_cl,Data Scientist,Research Science,"US, WA, Seattle",2016-10-28,2017-02-12 03:47:59.181790,https://www.amazon.jobs/en/jobs/457357,,"Amazon disrupted many things - the way we shop, the way read books and the way we use computational resources just to name a few. In each case Amazon provided an awesome customer experience in a large part due to effectively using the immense data we have. The A1.492 team is a new division within Amazon with a charter to continue the tradition of creating disruptive technologies that will have a lasting impact on the society and data science is a big part of this mission. Together with a highly multi-disciplinary team of scientist, engineers, strategic partners, product managers and subject domain experts you will work on building products powered by big data. You will work on the world's best cloud computing platform, with cutting edge big data tools at your disposal while having unparalleled access to best software development and machine learning experts.<br/><br/><br/>RESPONSIBILITIES<br/>- Develop scalable data processing pipelines<br/>- Perform exploratory data analysis and develop predictive models<br/>- Collaborate with other engineers, and scientists to find effective solutions to technical challenges<br/>- Analyze data covering a wide range of modalities (transactions, text, image etc)<br/>- Communicate findings from complex analysis and modeling in a clear and effective manner<br/>- Provide input for product road-maps<br/><br/>","[{""elements"": [""- MSc in computer science, statistics, neuroscience, engineering, mathematics, or physics<br/>- Solid understanding of foundational statistics concepts and ML algorithms: linear/logistic regression, random forest, boosting, GBM, NNs, etc.<br/>- Passion for learning (new problem domains, algorithms, tools etc) and for for analyzing data<br/>- Fluency in at least one of Python, Java, Scala, C/C++<br/>- Fluency with Unix/Linux systems<br/>- Ability to access, manage, transfer, integrate and analyze complex datasets, especially using SQL<br/>- Experience with scikit-learn and pandas (or equivalent tools)<br/>""], ""type"": ""Basic Qualifications""}, {""elements"": [""- Ph.D. degree (preferred) in computer science, statistics, neuroscience, engineering, mathematics, or physics<br/>- Experience with advanced ML models and concepts: HMMs, CRFs, MRFs, deep learning, regularization etc.<br/>- 2+ years of industry experience in data science or related areas<br/>- Experience with working on large data sets, especially with Hadoop and Spark<br/>- Experience with distributed databases such as MongoDB, HBase, Cassandra etc<br/>- Experience with cloud computing platforms such as AWS<br/>- Experience with data visualization tools such as Tableau, D3.js<br/>""], ""type"": ""Preferred Qualifications""}]"
as_24599867_1u,Data Scientist,Research Science,"US, WA, Seattle",2016-10-14,2017-02-12 03:47:59.189305,https://www.amazon.jobs/en/jobs/452868,,"Amazon disrupted many things - the way we shop, the way read books and the way we use computational resources just to name a few. In each case Amazon provided an awesome customer experience in a large part due to effectively using the immense data we have. The A1.492 team is a new division within Amazon with a charter to continue the tradition of creating disruptive technologies that will have a lasting impact on the society and data science is a big part of this mission. Together with a highly multi-disciplinary team of scientist, engineers, strategic partners, product managers and subject domain experts you will work on building products powered by big data. You will work on the world's best cloud computing platform, with cutting edge big data tools at your disposal while having unparalleled access to best software development and machine learning experts.<br/><br/><br/>RESPONSIBILITIES<br/>- Develop scalable data processing pipelines<br/>- Perform exploratory data analysis and develop predictive models<br/>- Collaborate with other engineers, and scientists to find effective solutions to technical challenges<br/>- Analyze data covering a wide range of modalities (transactions, text, image etc)<br/>- Communicate findings from complex analysis and modeling in a clear and effective manner<br/>- Provide input for product road-maps<br/><br/>","[{""elements"": [""- MSc in computer science, statistics, neuroscience, engineering, mathematics, or physics<br/>- Solid understanding of foundational statistics concepts and ML algorithms: linear/logistic regression, random forest, boosting, GBM, NNs, etc.<br/>- Passion for learning (new problem domains, algorithms, tools etc) and for for analyzing data<br/>- Fluency in at least one of Python, Java, Scala, C/C++<br/>- Fluency with Unix/Linux systems<br/>- Ability to access, manage, transfer, integrate and analyze complex datasets, especially using SQL<br/>- Experience with scikit-learn and pandas (or equivalent tools)<br/>""], ""type"": ""Basic Qualifications""}, {""elements"": [""- Ph.D. degree (preferred) in computer science, statistics, neuroscience, engineering, mathematics, or physics<br/>- Experience with advanced ML models and concepts: HMMs, CRFs, MRFs, deep learning, regularization etc.<br/>- 2+ years of industry experience in data science or related areas<br/>- Experience with working on large data sets, especially with Hadoop and Spark<br/>- Experience with distributed databases such as MongoDB, HBase, Cassandra etc<br/>- Experience with cloud computing platforms such as AWS<br/>- Experience with data visualization tools such as Tableau, D3.js<br/>""], ""type"": ""Preferred Qualifications""}]"
as_24507297_ki,Data Scientist,Research Science,"US, WA, Seattle",2016-08-10,2017-02-12 03:47:59.196453,https://www.amazon.jobs/en/jobs/433095,,"Amazon disrupted many things - the way we shop, the way read books and the way we use computational resources just to name a few. In each case Amazon provided an awesome customer experience in a large part due to effectively using the immense data we have. The A1.492 team is a new division within Amazon with a charter to continue the tradition of creating disruptive technologies that will have a lasting impact on the society and data science is a big part of this mission. Together with a highly multi-disciplinary team of scientist, engineers, strategic partners, product managers and subject domain experts you will work on building products powered by big data. You will work on the world's best cloud computing platform, with cutting edge big data tools at your disposal while having unparalleled access to best software development and machine learning experts.<br/><br/><br/>RESPONSIBILITIES<br/>- Develop scalable data processing pipelines<br/>- Perform exploratory data analysis and develop predictive models<br/>- Collaborate with other engineers, and scientists to find effective solutions to technical challenges<br/>- Analyze data covering a wide range of modalities (transactions, text, image etc)<br/>- Communicate findings from complex analysis and modeling in a clear and effective manner<br/>- Provide input for product road-maps<br/><br/>","[{""elements"": [""- MSc in computer science, statistics, neuroscience, engineering, mathematics, or physics<br/>- Solid understanding of foundational statistics concepts and ML algorithms: linear/logistic regression, random forest, boosting, GBM, NNs, etc.<br/>- Passion for learning (new problem domains, algorithms, tools etc) and for for analyzing data<br/>- Fluency in at least one of Python, Java, Scala, C/C++<br/>- Fluency with Unix/Linux systems<br/>- Ability to access, manage, transfer, integrate and analyze complex datasets, especially using SQL<br/>- Experience with scikit-learn and pandas (or equivalent tools)<br/>""], ""type"": ""Basic Qualifications""}, {""elements"": [""- Ph.D. degree (preferred) in computer science, statistics, neuroscience, engineering, mathematics, or physics<br/>- Experience with advanced ML models and concepts: HMMs, CRFs, MRFs, deep learning, regularization etc.<br/>- 2+ years of industry experience in data science or related areas<br/>- Experience with working on large data sets, especially with Hadoop and Spark<br/>- Experience with distributed databases such as MongoDB, HBase, Cassandra etc<br/>- Experience with cloud computing platforms such as AWS<br/>- Experience with data visualization tools such as Tableau, D3.js<br/>""], ""type"": ""Preferred Qualifications""}]"
bie_24746517_x1,Data Scientist,Research Science,"US, WA, Seattle",2017-01-19,2017-02-12 03:47:59.203667,https://www.amazon.jobs/en/jobs/486528,,"Amazon seeks a data scientist to work as a core part of our digital economics group. The advertising arm of the digital economics group focuses on building high quality ad products that enhance Amazon's customer experience and core retail platform. We partner with the advertising business units, helping them answer their key data and modelling questions. We conduct research that uses Amazon's large datasets to understand customer and advertiser behavior. And we implement products and features designed to enhance the advertising marketplace.<br/><br/>As a data scientist on our team, you will work with our group of PhD economists and SDEs to help build models of customer and advertiser behavior. You will help us go from big data to production with state of the art prediction models. You will help the business visualize data and draw out insights. You will interact with other data scientists, developers, and product managers to implement your models.<br/><br/>Some examples of questions you will be asked to look at:<br/>· How should we model the effect that ads have on customer behavior?<br/>· How can we predict, based on features of the advertisement and context, whether we should or should not show an ad?<br/>· How should we structure our auction to integrate this model?<br/>· What other levers do we have (exposing quality scores to advertisers, etc.) to increase the efficiency of our platform?<br/><br/>","[{""elements"": [""\u00b7 Knowledge of relational databases (SQL)<br/>\u00b7 Ability to work with large semi-structured datasets (Hadoop, Spark)<br/>\u00b7 Fluency in a modeling language such as R, Python scientific computing libraries, or Matlab<br/>\u00b7 MS in Computer Science, Machine Learning, Operations Research, Applied Mathematics, Applied Economics or in another highly quantitative field<br/>\u00b7 3+ years of hands-on experience in data mining, machine learning, and/or quantitative analysis<br/>\u00b7 Ability to distill problem definitions, models and constraints from informal business requirements, and to deal with ambiguity and competing objectives""], ""type"": ""Basic Qualifications""}, {""elements"": [""\u00b7 PhD in Computer Science, Machine Learning, Operations Research, Applied Mathematics, Applied Economics or in another highly quantitative field<br/>\u00b7 A natural curiosity and desire to learn<br/>\u00b7 3+ years of hands-on experience in predictive modeling and analysis<br/>\u00b7 Expertise at working with very large, disparate data sets, including charting and visualizations<br/>\u00b7 Strong communication and data presentation skills<br/><br/>Amazon is an Equal Opportunity-Affirmative Action Employer \u2013 Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation<br/><br/><br/>""], ""type"": ""Preferred Qualifications""}]"
as_24602205_62,Data Scientist,Research Science,"US, WA, Seattle",2016-11-15,2017-02-12 03:47:59.209131,https://www.amazon.jobs/en/jobs/462493,,"Amazon seeks a data scientist to work as a core part of our digital economics group. The advertising arm of the digital economics group focuses on building high quality ad products that enhance Amazon's customer experience and core retail platform. We partner with the advertising business units, helping them answer their key data and modelling questions. We conduct research that uses Amazon's large datasets to understand customer and advertiser behavior. And we implement products and features designed to enhance the advertising marketplace.<br/><br/>As a data scientist on our team, you will work with our group of PhD economists and SDEs to help build models of customer and advertiser behavior. You will help us go from big data to production with state of the art prediction models. You will help the business visualize data and draw out insights. You will interact with other data scientists, developers, and product managers to implement your models.<br/><br/>Some examples of questions you will be asked to look at:<br/>· How should we model the effect that ads have on customer behavior?<br/>· How can we predict, based on features of the advertisement and context, whether we should or should not show an ad?<br/>· How should we structure our auction to integrate this model?<br/>· What other levers do we have (exposing quality scores to advertisers, etc.) to increase the efficiency of our platform?<br/><br/>","[{""elements"": [""\u00b7 Knowledge of relational databases (SQL)<br/>\u00b7 Ability to work with large semi-structured datasets (Hadoop, Spark)<br/>\u00b7 Fluency in a modeling language such as R, Python scientific computing libraries, or Matlab<br/>\u00b7 MS in Computer Science, Machine Learning, Operations Research, Applied Mathematics, Applied Economics or in another highly quantitative field<br/>\u00b7 3+ years of hands-on experience in data mining, machine learning, and/or quantitative analysis<br/>\u00b7 Ability to distill problem definitions, models and constraints from informal business requirements, and to deal with ambiguity and competing objectives<br/>\u00b7 A natural curiosity and desire to learn""], ""type"": ""Basic Qualifications""}, {""elements"": [""\u00b7 PhD in Computer Science, Machine Learning, Operations Research, Applied Mathematics, Applied Economics or in another highly quantitative field<br/>\u00b7 3+ years of hands-on experience in predictive modeling and analysis<br/>\u00b7 Expertise at working with very large, disparate data sets, including charting and visualizations<br/>\u00b7 Strong communication and data presentation skills<br/>Amazon is an Equal Opportunity-Affirmative Action Employer \u2013 Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation<br/><br/><br/>""], ""type"": ""Preferred Qualifications""}]"
as_24675742_dj,Data Scientist,Research Science,"US, WA, Seattle",2016-12-01,2017-02-12 03:47:59.216524,https://www.amazon.jobs/en/jobs/467701,,"Amazon has disrupted many things - the way we shop, the way we read books, and the way we use computational resources, just to name a few. In each case Amazon raised the bar on customer experience. This is driven in large part by effectively leveraging big data concepts to drive the business forward. Amazon Payments allows millions of Amazon customers to pay for purchases on Amazon and on third party sites. We are looking for a strong Data Scientist to support the Amazon Payments Risk and Compliance Services (RCS). Together with a highly multi-disciplinary team of scientists, data engineers, software developers, product managers and subject domain experts you will work on building products powered by big data to mine our data, develop models to drive improvements in our Compliance and Anti-Money Laundering processes, and ultimately ensure the integrity of our platform for our customers.<br/><br/>Your responsibilities include analyzing and extracting relevant information from large amounts of Amazon's historical business data to drive new measurement, product development, and continually improve our current detection engines. You will use data mining, machine learning, and statistical techniques to create new insights. In this role you will establish scalable, efficient, automated processes for large scale data analyses that will tie into Production systems, as well as performing exploratory analysis across an open-ended pool of data.<br/>","[{""elements"": [""- Masters in computer science, statistics, neuroscience, engineering, mathematics, or physics<br/>- Solid understanding of foundational statistics concepts and ML algorithms: linear/logistic regression, random forest, boosting, GBM, NNs, etc.<br/>- Passion for learning (new problem domains, algorithms, tools, etc.) and for analyzing data<br/>- Fluency in at least one of the following languages Python, Java, Scala, C/C++<br/>- Fluency with Unix/Linux systems<br/>- Ability to access, manage, transfer, integrate and analyze complex datasets, especially using SQL<br/>""], ""type"": ""Basic Qualifications""}, {""elements"": [""- Ph.D. degree in computer science, statistics, neuroscience, engineering, mathematics, or physics<br/>- Experience with advanced ML models and concepts: HMMs, CRFs, MRFs, deep learning, regularization, etc.<br/>- 2+ years of industry experience in data science or related areas<br/>- Experience in fraud detection or related field<br/>- Experience with working on large data sets, especially with Hadoop and Spark<br/>- Experience with distributed databases such as MongoDB, HBase, Cassandra etc<br/>- Experience with cloud computing platforms such as AWS<br/>- Experience with data visualization tools such as Tableau, PowerBI, etc.<br/>""], ""type"": ""Preferred Qualifications""}]"
as_24675774_7e,Data Scientist,Research Science,"US, WA, Seattle",2016-12-01,2017-02-12 03:47:59.223769,https://www.amazon.jobs/en/jobs/467658,,"Amazon has disrupted many things - the way we shop, the way we read books, and the way we use computational resources, just to name a few. In each case Amazon raised the bar on customer experience. This is driven in large part by effectively leveraging big data concepts to drive the business forward. Amazon Payments allows millions of Amazon customers to pay for purchases on Amazon and on third party sites. We are looking for a strong Data Scientist to support the Amazon Payments Risk and Compliance Services (RCS). Together with a highly multi-disciplinary team of scientists, data engineers, software developers, product managers and subject domain experts you will work on building products powered by big data to mine our data, develop models to drive improvements in our Compliance and Anti-Money Laundering processes, and ultimately ensure the integrity of our platform for our customers.<br/><br/>Your responsibilities include analyzing and extracting relevant information from large amounts of Amazon's historical business data to drive new measurement, product development, and continually improve our current detection engines. You will use data mining, machine learning, and statistical techniques to create new insights. In this role you will establish scalable, efficient, automated processes for large scale data analyses that will tie into Production systems, as well as performing exploratory analysis across an open-ended pool of data.<br/>","[{""elements"": [""- Masters in computer science, statistics, neuroscience, engineering, mathematics, or physics<br/>- Solid understanding of foundational statistics concepts and ML algorithms: linear/logistic regression, random forest, boosting, GBM, NNs, etc.<br/>- Passion for learning (new problem domains, algorithms, tools, etc.) and for analyzing data<br/>- Fluency in at least one of the following languages Python, Java, Scala, C/C++<br/>- Fluency with Unix/Linux systems<br/>- Ability to access, manage, transfer, integrate and analyze complex datasets, especially using SQL<br/>""], ""type"": ""Basic Qualifications""}, {""elements"": [""- Ph.D. degree in computer science, statistics, neuroscience, engineering, mathematics, or physics<br/>- Experience with advanced ML models and concepts: HMMs, CRFs, MRFs, deep learning, regularization, etc.<br/>- 2+ years of industry experience in data science or related areas<br/>- Experience in fraud detection or related field<br/>- Experience with working on large data sets, especially with Hadoop and Spark<br/>- Experience with distributed databases such as MongoDB, HBase, Cassandra etc<br/>- Experience with cloud computing platforms such as AWS<br/>- Experience with data visualization tools such as Tableau, PowerBI, etc.<br/>""], ""type"": ""Preferred Qualifications""}]"
