job_id,title,department,location,date_posted,time_scraped,url,company_intro,role_description,listings
a0I1200000JXmwlEAD,Data Scientist,Infrastructure,"Menlo Park, CA",,2017-02-09 17:36:53.836542,https://www.facebook.com/careers/jobs/a0I1200000JXmwlEAD/?q=data+scientist,"Facebook's mission is to give people the power to share, and make the world more open and connected. Through our growing family of apps and services, we're building a different kind of company that helps billions of people around the world connect and share what matters most to them. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to make the world more open and accessible. Connecting the world takes every one of us—and we're just getting started.","In this role, your primary responsibility will be to partner with key stakeholders and lead the development of an analytics program to support and enable the continued growth critical to Facebook’s Data Center organization. You will be responsible for creating end to end analytics programs, from data sourcing to surfacing insights and driving action, for various aspects of Facebook’s global data center operations. You will also help translate data and identify efficiency opportunities. You will be expected to use data to provide meaningful recommendations and actionable strategies to key stakeholders, and develop best practices, including streamlining of data sources and related programmatic initiatives. The ideal candidate will have a passion for working in white space and creating impact from the ground up in a fast paced environment. Additionally, the ideal candidate will have a proven track record of thought leadership and impact in developing similar analytics and metrics based programs. This position is part of the Infrastructure Data Center team and located in our Menlo Park office. Excellent communication, presentation, and analytical skills are a must. This is a full-time role based in our Menlo Park.","[{""elements"": [""Leverage data and business principles to create and drive large scale FB Data Center programs."", ""Define and develop the program for metrics creation, data collection, modeling, and reporting the operational performance of Facebook\u2019s data centers."", ""Work cross functionally to define problem statements, collect data, build analytical models and make recommendations."", ""Identify and implement streamlined processes for data reporting and communication."", ""Use analytical models to identify insights that are used to drive key decisions across the organization."", ""Routinely communicate metrics, trends and other key indicators to senior leadership."", ""Provide leadership and mentorship to other members of the team."", ""Lead and support various ad hoc projects, as needed, in support of Facebook\u2019s Data Center strategy."", ""Build and maintain data driven optimization models, experiments, forecasting algorithms and capacity constraint models."", ""Leverage tools like R, PHP, Python, Hadoop & SQL to drive efficient analytics.""], ""type"": ""Responsibilities""}, {""elements"": [""Degree in an analytical field (e.g. Computer Science, Engineering, Mathematics, Statistics, Operations Research, Management Science)"", ""5+ years of prior experience in a role with heavy emphasis on data analysis and metrics development required"", ""5+years of  prior experience managing project costs for multimillion-dollar construction or development projects."", ""3+ years of hands-on experience analyzing and interpreting data, drawing conclusions, defining recommended actions, and reporting results across diverse stakeholders"", ""3+ years of SQL development skills writing complex queries"", ""3+ years of hands-on project management experience"", ""3+ years of experience with data visualization tools"", ""3+ years of experience with packages such as R, SPSS, SAS, STATA, etc."", ""2+ years of experience in web development and PHP scripting"", ""Proven track record of leveraging data driven models to drive impactful business decisions"", ""Experience using data access tools and building visualizations using large datasets and multiple data sources"", ""Proven ability to effectively distill and communicate complex data to all organizational levels"", ""Experienced with packages such as NumPy, SciPy, pandas, scikit-learn, dplyr, ggplot2."", ""Understanding of statistics and optimization techniques."", ""Hands-on experience with medium to large datasets (i.e. data extraction, cleaning, analysis and presentation)""], ""type"": ""Minimum Qualifications""}, {""elements"": [""Technical knowledge of data center operations""], ""type"": ""Preferred Qualifications""}]"
a0I1200000JXvNaEAL,"Data Scientist, Analytics",Data & Analytics,"Menlo Park, CA",,2017-02-09 17:36:57.195293,https://www.facebook.com/careers/jobs/a0I1200000JXvNaEAL/?q=data+scientist,"Facebook's mission is to give people the power to share, and make the world more open and connected. Through our growing family of apps and services, we're building a different kind of company that helps billions of people around the world connect and share what matters most to them. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to make the world more open and accessible. Connecting the world takes every one of us—and we're just getting started.","We’re looking for data scientists to work on our core and business products (ex. Instagram, Messaging, Growth, Engagement, Ads) to help shape the future of what we build at Facebook. You will enjoy working with one of the richest data sets in the world, cutting edge technology, and the ability to see your insights turned into real products on a regular basis. The perfect candidate will have a background in a quantitative or technical field, will have experience working with large data sets, and will have some experience in data-driven decision making. You are focused on results, a self-starter, and have demonstrated success in using analytics to drive the understanding, growth, and success of a product. This position is based full time in our Menlo Park, CA office.","[{""elements"": [""Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with both our consumer and business products"", ""Partner with Product and Engineering teams to solve problems and identify trends and opportunities"", ""Inform, influence, support, and execute our product decisions and product launches"", ""The Data Scientist Analytics role has work across the following four areas:"", ""Product OperationsForecasting and setting product team goalsDesigning and evaluating experimentsMonitoring key product metrics, understanding root causes of changes in metricsBuilding and analyzing dashboards and reportsBuilding key data sets to empower operational and exploratory analysisEvaluating and defining metrics"", ""Forecasting and setting product team goals"", ""Designing and evaluating experiments"", ""Monitoring key product metrics, understanding root causes of changes in metrics"", ""Building and analyzing dashboards and reports"", ""Building key data sets to empower operational and exploratory analysis"", ""Evaluating and defining metrics"", ""Exploratory AnalysisProposing what to build in the next roadmapUnderstanding ecosystems, user behaviors, and long-term trendsIdentifying new  levers to help move key metricsBuilding models of user behaviors for analysis or to power production systems"", ""Proposing what to build in the next roadmap"", ""Understanding ecosystems, user behaviors, and long-term trends"", ""Identifying new  levers to help move key metrics"", ""Building models of user behaviors for analysis or to power production systems"", ""Product LeadershipInfluencing product teams through presentation of data-based recommendationsCommunicating state of business, experiment results, etc to product teamsSpreading best practices to analytics and product teams"", ""Influencing product teams through presentation of data-based recommendations"", ""Communicating state of business, experiment results, etc to product teams"", ""Spreading best practices to analytics and product teams"", ""Data InfrastructureWorking in Hadoop and Hive primarily, sometimes MySQL, Oracle, and VerticaAutomating analyses and authoring pipelines via SQL and python based ETL framework"", ""Working in Hadoop and Hive primarily, sometimes MySQL, Oracle, and Vertica"", ""Automating analyses and authoring pipelines via SQL and python based ETL framework""], ""type"": ""Responsibilities""}, {""elements"": [""2+ years experience doing quantitative analysis"", ""BA/BS in Computer Science, Math, Physics, Engineering, Statistics or other technical field"", ""Experience in SQL or other programming languages"", ""Development experience in any scripting language (PHP, Python, Perl, etc.)"", ""Ability to communicate the results of analyses with product and leadership teams to influence the strategy of the product"", ""Understanding of statistics (e.g., hypothesis testing, regressions)"", ""Experience manipulating data sets through statistical software (ex. R, SAS) or other methods""], ""type"": ""Minimum Qualifications""}, {""elements"": [""Advanced degrees"", ""Experience with distributed computing (Hive/Hadoop)""], ""type"": ""Preferred Qualifications""}]"
a0I1200000JXhq1EAD,Data Scientist (WhatsApp),Software Engineering,"Menlo Park, CA",,2017-02-09 17:37:00.778758,https://www.facebook.com/careers/jobs/a0I1200000JXhq1EAD/?q=data+scientist,"WhatsApp is the world’s fastest growing communication company with over 1 billion active users globally. We help bring friends, families, communities, soccer groups, doctors, storm chasers, and million others closer. We are just getting started. We are looking for the best individuals to grow and support this incredible community of users. WhatsApp has been ranked as one of the Top 25 Most downloaded apps in over 100 countries on the App Store and has received over 1 Billion installs on Google Play. Our spacious office is located in the heart of downtown Mountain View.


Join a world-class engineering-driven company, where you'll have instant impact from day one. WhatsApp has an open culture and flat organization. Every engineer is literally sitting a few steps away from the founders. As a member of our engineering team you will tackle challenging issues of scale, reliability and security while delivering a delightful, simple user experience to a global user base. If you love writing code, hate tons of meetings, then come talk to us.",,"[{""elements"": [""Work with mobile client engineers to help them define and analyze data for improving product performance and quality"", ""Define and maintain a set of key product performance and quality metrics"", ""Develop techniques for highlight significant changes in performance and quality metrics (e.g. between two software releases)"", ""Develop techniques for tracking performance and quality metrics over time"", ""Work with tool engineers to automate workflows and create tools for performance and quality metrics tracking"", ""Lead individual projects for making data-driven product improvements""], ""type"": ""Responsibilities""}, {""elements"": [""Understanding of statistical data analysis techniques used for classification, regression, clustering, dimensionality reduction, anomaly detection"", ""2+ years or experience applying statistical data analysis to real-life problems"", ""Knowledge of data analysis tools and libraries like \u201cPyData\u201d and R"", ""Ability to present data and communicate analysis results in a way that doesn't require statistical background to understand"", ""Ability to automate data analysis steps using Python"", ""BS in statistics, math or equivalent"", ""Ability to work in a team""], ""type"": ""Minimum Qualifications""}]"
a0I1200000JXqDUEA1,"Data Scientist, Analytics",Data & Analytics,"Seattle, WA",,2017-02-09 17:37:04.967473,https://www.facebook.com/careers/jobs/a0I1200000JXqDUEA1/?q=data+scientist,"Facebook's mission is to give people the power to share, and make the world more open and connected. Through our growing family of apps and services, we're building a different kind of company that helps billions of people around the world connect and share what matters most to them. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to make the world more open and accessible. Connecting the world takes every one of us—and we're just getting started.","We’re looking for data scientists to work on our core and business products (ex. Instagram, Messaging, Growth, Engagement, Ads) to help shape the future of what we build at Facebook. You will enjoy working with one of the richest data sets in the world, cutting edge technology, and the ability to see your insights turned into real products on a regular basis. The perfect candidate will have a background in a quantitative or technical field, will have experience working with large data sets, and will have some experience in data-driven decision making. You are focused on results, a self-starter, and have demonstrated success in using analytics to drive the understanding, growth, and success of a product. These positions are located in our Seattle office.","[{""elements"": [""Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with both our consumer and business products."", ""Partner with Product and Engineering teams to solve problems and identify trends and opportunities"", ""Inform, influence, support, and execute our product decisions and product launches."", ""The Data Scientist Analytics role has work across the following four areas:"", ""Product OperationsForecasting and setting product team goalsDesigning and evaluating experimentsMonitoring key product metricsUnderstanding root causes of changes in metricsBuilding and analyzing dashboards and reportsBuilding key data sets to empower operational and exploratory analysisEvaluating and defining metrics"", ""Forecasting and setting product team goals"", ""Designing and evaluating experiments"", ""Monitoring key product metrics"", ""Understanding root causes of changes in metrics"", ""Building and analyzing dashboards and reports"", ""Building key data sets to empower operational and exploratory analysis"", ""Evaluating and defining metrics"", ""Exploratory AnalysisProposing what to build in the next roadmapUnderstanding ecosystems, user behaviors, and long-term trendsIdentifying new levers to help move key metricsBuilding models of user behaviors for analysis or to power production systems"", ""Proposing what to build in the next roadmap"", ""Understanding ecosystems, user behaviors, and long-term trends"", ""Identifying new levers to help move key metrics"", ""Building models of user behaviors for analysis or to power production systems"", ""Product LeadershipInfluencing product teams through presentation of data-based recommendationsCommunicating state of business, experiment results, etc to product teamsSpreading best practices to analytics and product teams"", ""Influencing product teams through presentation of data-based recommendations"", ""Communicating state of business, experiment results, etc to product teams"", ""Spreading best practices to analytics and product teams"", ""Data InfrastructureWorking in Hadoop and Hive primarily, sometimes MySQL, Oracle, and VerticaAutomating analyses and authoring pipelines via SQL and python based ETL framework"", ""Working in Hadoop and Hive primarily, sometimes MySQL, Oracle, and Vertica"", ""Automating analyses and authoring pipelines via SQL and python based ETL framework""], ""type"": ""Responsibilities""}, {""elements"": [""2+ years experience doing quantitative analysis."", ""BA/BS in Computer Science, Math, Physics, Engineering, Statistics or other technical field."", ""Experience in SQL or other programming languages."", ""Development experience in at least one scripting language (PHP, Python, Perl, etc.)"", ""Ability to communicate the results of analyses with product and leadership teams."", ""Understanding of statistics (e.g., hypothesis testing, regressions)"", ""Experience manipulating data sets through statistical software (ex. R, SAS) or other methods"", ""Experience with distributed computing (Hive/Hadoop)""], ""type"": ""Minimum Qualifications""}]"
a0I1200000JXmgrEAD,Decision Scientist,Data & Analytics,"Menlo Park, CA",,2017-02-09 17:37:08.609338,https://www.facebook.com/careers/jobs/a0I1200000JXmgrEAD/?q=data+scientist,"Facebook's mission is to give people the power to share, and make the world more open and connected. Through our growing family of apps and services, we're building a different kind of company that helps billions of people around the world connect and share what matters most to them. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to make the world more open and accessible. Connecting the world takes every one of us—and we're just getting started.","The Marketing team focuses on building Facebook brand presence, improving user sentiment and product education.  It is an exciting time at Facebook Marketing because understanding people and connecting them to Facebook and our products (and vice versa) is crucial for future growth.  We are seeking a talented analyst who thrives at the Intersection of data, marketing, product and engineering.  The successful candidate will support all things marketing at Facebook to help us make better decisions.  The ideal candidate will have strong technical and analytical background – with a hunger to make significant business impact by owning and driving business outcomes.  Strong time management and communication skills are critical, and a passion for Facebook is a must.","[{""elements"": [""Partner with marketing, research and product organizations to design, execute, measure and improve the impact of marketing efforts"", ""Translate data insights into actions and recommendations that will drive brand sentiment, user growth and engagement, and marketing effectiveness"", ""Develop quantitative analysis, ad hoc reports, and models to support marketing decision making. Analysis areas might include (but not limited to): retention, lifetime value, messaging, promotions, usage and engagement."", ""Produce visuals (charts, infographics) and presentations to clearly and effectively communicate findings to internal stakeholders."", ""Design and implement reporting dashboards that track key metrics and performance trends, and provide actionable insights to marketing leadership."", ""Analyze and maintain marketing metrics to identify cause-effect relationships between marketing actions and behavioral & attitudinal outcomes.""], ""type"": ""Responsibilities""}, {""elements"": [""5+ years of experience in data analysis."", ""Statistical and data analysis/modeling skills (e.g. significance testing, regression modeling, etc.)"", ""Direct experience working with data-sets"", ""Experience using SPSS, SAS, R, Matlab, or similar statistical packages"", ""Experience with Python, Hadoop/Hive, & SQL required"", ""Ability to thrive in an environment and collaborate with a different individuals and organizations"", ""Communication skills.""], ""type"": ""Minimum Qualifications""}, {""elements"": [""Master's or Doctorate degree in psychology, statistics, economics, behavioral or social science or a related quantitative field"", ""MBA or Management consulting experience""], ""type"": ""Preferred Qualifications""}]"
a0I1200000JXmh1EAD,Lead Data Scientist,Infrastructure,"Menlo Park, CA",,2017-02-09 17:37:11.769892,https://www.facebook.com/careers/jobs/a0I1200000JXmh1EAD/?q=data+scientist,"Facebook's mission is to give people the power to share, and make the world more open and connected. Through our growing family of apps and services, we're building a different kind of company that helps billions of people around the world connect and share what matters most to them. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to make the world more open and accessible. Connecting the world takes every one of us—and we're just getting started.","Our data centers are the foundation upon which our rapidly scaling infrastructure efficiently operates to deliver our innovative products to the world. The Data Center Analytics team is seeking an experienced, outgoing, and self-motivated professional to be the tech lead for our data center analytics program.

In this role, your primary responsibility will be to partner with key stakeholders and lead strategic analysis to support and enable the continued growth critical to Facebook’s Data Center organization. You will be responsible for creating analytics programs, from data sourcing to surfacing insights and driving action, for various aspects of Facebook’s global data center operations. You will also help translate data and identify efficiency opportunities. You will be expected to use data to provide meaningful recommendations and actionable strategies to key stakeholders, and develop best practices, including streamlining of data sources and related programmatic initiatives. The ideal candidate will have a passion for working in white space and creating impact from the ground up in a fast paced environment. Additionally, the ideal candidate will have a proven track record of thought leadership and impact in developing similar analytics and metrics based programs. This position is part of the Infrastructure Data Center team and located in our Menlo Park office.","[{""elements"": [""Leverage data and business principles to create and drive large scale FB Data Center programs."", ""Define and develop the program for metrics creation, data collection, modeling, and reporting the operational performance of Facebook\u2019s data centers."", ""Work cross functionally to define problem statements, collect data, build analytical models and make recommendations."", ""Identify and implement streamlined processes for data reporting and communication."", ""Use analytical models to identify insights that are used to drive key decisions across the organization."", ""Routinely communicate metrics, trends and other key indicators to  leadership."", ""Provide leadership and mentorship to other members of the team."", ""Lead and support various ad hoc projects, as needed, in support of Facebook\u2019s Data Center strategy."", ""Build and maintain data driven optimization models, experiments, forecasting algorithms and capacity constraint models."", ""Leverage tools like R, PHP, Python, Hadoop & SQL to drive efficient analytics.""], ""type"": ""Responsibilities""}, {""elements"": [""BS degree in a business or technical discipline required"", ""7+ years of prior experience in a role with heavy emphasis on data analysis and metrics development required"", ""5+ years of hands-on experience analyzing and interpreting data, drawing conclusions, defining recommended actions, and reporting results across diverse stakeholders"", ""5+ years of SQL development skills writing complex queries"", ""3+ years of hands-on project management experience"", ""3+ years of experience with data visualization tools"", ""2+ years of experience with packages such as R, SPSS, SAS, STATA, etc."", ""2+ years of experience in web development and PHP scripting"", ""Proven track record of leveraging data driven models to drive impactful business decisions"", ""Experience using data access tools and building dashboards using large datasets and multiple data sources"", ""Analytical ability and communications skills"", ""Proven ability to effectively distill and communicate complex data to all organizational levels""], ""type"": ""Minimum Qualifications""}, {""elements"": [""Masters degree in a business or technical discipline"", ""Technical knowledge of data center operations""], ""type"": ""Preferred Qualifications""}]"
a0I1200000JXpPyEAL,People Research Scientist,People & Recruiting,"Menlo Park, CA",,2017-02-09 17:37:14.628824,https://www.facebook.com/careers/jobs/a0I1200000JXpPyEAL/?q=data+scientist,"Facebook's mission is to give people the power to share, and make the world more open and connected. Through our growing family of apps and services, we're building a different kind of company that helps billions of people around the world connect and share what matters most to them. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to make the world more open and accessible. Connecting the world takes every one of us—and we're just getting started.","At Facebook we pride ourselves on making data-informed decisions.  This includes not only decisions we make about our platform, which serves over 1 billion users, but also how we learn more about our most valuable asset – our people. For instance, we use data to understand how to hire top talent, to ensure our people are engaged, and to support diversity.

We’re looking for an experienced people research scientist-practitioner to join our people analytics function. Our team uncovers data-driven insights to better attract, develop, motivate, and retain Facebook’s most important asset – our people. This role will serve as an active partner with HR and functional leaders to perform research and analyses on a broad spectrum of people issues: to optimize employee attraction and selection, performance, growth, engagement, diversity, compensation, and retention. You’ll also help develop and refine people processes to make an exceptional workplace even better. The ideal candidate will have strong quantitative skills and experience working across a variety of people areas.  This is a full-time role based in Menlo Park, CA.","[{""elements"": [""Apply your expertise in people research, quantitative analysis, and data visualization to help Facebook recruit, select, grow, and retain talent"", ""See beyond the data to identify solutions that will raise the bar for all things people-related"", ""Collaborate with data engineering and visualization engineers to access and manipulate data, explain data gathering requirements, and display results"", ""Partner with the HR, recruiting and diversity teams on people projects to identify and clarify critical people issues, deeply understand our people processes, and analyze data to drive improvements"", ""Bring together Facebook-specific data and outside research to help leaders understand people issues"", ""Communicate statistical analyses and results, along with implications, to technical and non-technical audiences"", ""Collaborate effectively with the Employment Law team on a variety of sensitive projects"", ""Collaborate effectively with and mentor other team members"", ""Demonstrate exceptional judgment and discretion when dealing with highly sensitive people data""], ""type"": ""Responsibilities""}, {""elements"": [""MS/PhD in a field emphasizing people research in organizations (e.g., Industrial/Organizational Psychology, Organizational Behavior, Economics, Management, etc\u2026)"", ""3+ years of experience conducting quantitative people research in an organization or consulting environment, including working with key stakeholders to understand and clarify their people research needs, and communicating analyses to technical and non-technical audiences."", ""3+ years of experience applying multivariate statistical methods such as GLM, analysis of quasi-experimental research designs with non-equivalent groups (e.g., regression adjustment, matching, propensity score stratification), longitudinal analysis, classification, dimension reduction, clustering, hierarchical linear (random effects) modeling, etc., to people research problems in organizations"", ""Experience managing and analyzing complex, structured and unstructured data using tools such as R or Python""], ""type"": ""Minimum Qualifications""}, {""elements"": [""2+ years of experience with machine learning, text mining or modeling high-dimensional data"", ""3+ years working internally (as opposed to consulting) in an organization with 500+ professional employees (e.g., high-tech, financial services, healthcare, biotech, etc\u2026)"", ""Experience developing tools, conducting empirical research, practical implementation, knowledge of best practices in at least three of the following areas: employee selection, employee engagement, performance management, diversity, or retention."", ""Experience conceiving, developing, running pilot tests, implementing, and continuously improving large-scale people processes"", ""Experienced in survey design""], ""type"": ""Preferred Qualifications""}]"
a0I1200000IA3MwEAL,Product Analyst,Data & Analytics,"Menlo Park, CA|New York, NY|Seattle, WA",,2017-02-09 17:37:16.798788,https://www.facebook.com/careers/jobs/a0I1200000IA3MwEAL/?q=data+scientist,"Facebook's mission is to give people the power to share, and make the world more open and connected. Through our growing family of apps and services, we're building a different kind of company that helps billions of people around the world connect and share what matters most to them. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to make the world more open and accessible. Connecting the world takes every one of us—and we're just getting started.","We’re looking for data scientists to work on our core and business products (Instagram, Ads, Messaging, Identity, Growth & Engagement, Mobile, Search, Privacy, Payments ) with a passion for Internet technology to help drive informed business decisions for Facebook. You will enjoy working with one of the richest data sets in the world, cutting edge technology, and the ability to see your insights turned into real products on a regular basis. The perfect candidate will have a background in a quantitative or technical field, will have experience working with large data sets, and will have some experience in data-driven decision making. You are scrappy, focused on results, a self-starter, and have demonstrated success in using analytics to drive the understanding, growth, and success of a product. These positions are located in our Menlo Park, Seattle, and New York offices.","[{""elements"": [""Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with our core/business products"", ""Partner with Product and Engineering teams to solve problems and identify trends and opportunities"", ""Inform, influence, support, and execute our product decisions and product launches."", ""The Data Scientist Analytics role has work across the following four areas:"", ""Data InfrastructureWorking in hadoop and hive primarily, sometimes mysql, oracle, and verticaAuthoring pipelines via SQL and python based ETL frameworkBuilding key data sets to empower operational and exploratory analysisAutomating analyses"", ""Working in hadoop and hive primarily, sometimes mysql, oracle, and vertica"", ""Authoring pipelines via SQL and python based ETL framework"", ""Building key data sets to empower operational and exploratory analysis"", ""Automating analyses"", ""Product OperationsSetting goalsDesigning and evaluating experiments monitoring key product metrics, understanding root causes of changes in metricsBuilding and analyzing dashboards and reports"", ""Setting goals"", ""Designing and evaluating experiments monitoring key product metrics, understanding root causes of changes in metrics"", ""Building and analyzing dashboards and reports"", ""Exploratory AnalysisProposing what to build in the next roadmapUnderstanding ecosystems, user behaviors, and long-term trendsIdentifying levers to help move key metricsEvaluating and defining metricsBuilding models of user behaviors for analysis or to power production systems"", ""Proposing what to build in the next roadmap"", ""Understanding ecosystems, user behaviors, and long-term trends"", ""Identifying levers to help move key metrics"", ""Evaluating and defining metrics"", ""Building models of user behaviors for analysis or to power production systems"", ""Product LeadershipInfluencing product teams through presentation of workCommunicating of state of business, experiment results, etc to product teamsSpreading best practices to analytics and product teams"", ""Influencing product teams through presentation of work"", ""Communicating of state of business, experiment results, etc to product teams"", ""Spreading best practices to analytics and product teams""], ""type"": ""Responsibilities""}, {""elements"": [""4+ years experience doing quantitative analysis."", ""BA/BS in Computer Science, Math, Physics, Engineering, Statistics or other technical field. Advanced degrees preferred."", ""Experience in SQL or other programming languages."", ""Development experience in at least one scripting language (PHP, Python, Perl, etc.)"", ""Ability to initiate and drive projects to completion with minimal guidance"", ""Ability to communicate the results of analyses in a clear and effective manner"", ""Basic understanding of statistical analysis."", ""Preferred experience with a statistical package such as R, MATLAB, SPSS, SAS, Stata, etc."", ""Preferred experience with an Internet-based company."", ""Experience with large data sets and distributed computing (Hive/Hadoop) a plus.""], ""type"": ""Minimum Qualifications""}]"
a0I1200000JXbEQEA1,Research Scientist (AI),Software Engineering,"Menlo Park, CA|New York, NY",,2017-02-09 17:37:21.612749,https://www.facebook.com/careers/jobs/a0I1200000JXbEQEA1/?q=data+scientist,"Facebook's mission is to give people the power to share, and make the world more open and connected. Through our growing family of apps and services, we're building a different kind of company that helps billions of people around the world connect and share what matters most to them. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to make the world more open and accessible. Connecting the world takes every one of us—and we're just getting started.","Facebook is seeking a Research Scientist to join Facebook AI Research, a research organization focused on making significant progress in AI. Individuals in this role are expected to be recognized experts in identified research areas such as artificial intelligence, machine learning, computational statistics, and applied mathematics, particularly including areas such as deep learning, graphical models, reinforcement learning, computer perception, natural language processing and data representation.  The ideal candidate will have a keen interest in producing new science to understand intelligence and technology  to make computers more intelligent.","[{""elements"": [""Perform research to advance the science and technology of intelligent machines."", ""Perform research that enables learning the semantics of data (images, video, text, audio, and other modalities)"", ""Devise better data-driven models of human behavior."", ""Work towards long-term ambitious research goals, while identifying intermediate milestones"", ""Influence progress of relevant research communities by producing publications"", ""Contribute research that can be applied to Facebook product development""], ""type"": ""Responsibilities""}, {""elements"": [""Ph.D. and publications in Machine Learning, AI, computer science, statistics, applied mathematics, data science, or related technical fields."", ""Experience solving analytical problems using quantitative approaches"", ""Experience manipulating and analyzing data from different sources"", ""Experience in theoretical and empirical research and for answering questions with research"", ""Ability to communicate research"", ""Knowledge in some programming language.""], ""type"": ""Minimum Qualifications""}]"
a0I1200000JXb68EAD,"Data Scientist, Analytics",Data & Analytics,"New York, NY",,2017-02-09 17:37:25.453376,https://www.facebook.com/careers/jobs/a0I1200000JXb68EAD/?q=data+scientist,"Facebook's mission is to give people the power to share, and make the world more open and connected. Through our growing family of apps and services, we're building a different kind of company that helps billions of people around the world connect and share what matters most to them. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to make the world more open and accessible. Connecting the world takes every one of us—and we're just getting started.","We’re looking for data scientists to work on our core and business products (Instagram, Ads, Messaging, Identity, Growth & Engagement, Mobile, Search, Privacy, Payments) with a passion for Internet technology to help drive informed business decisions for Facebook. You will enjoy working with one of the richest data sets in the world, cutting edge technology, and the ability to see your insights turned into real products on a regular basis. The perfect candidate will have a background in a quantitative or technical field, will have experience working with large data sets, and will have some experience in data-driven decision making. You are scrappy, focused on results, a self-starter, and have demonstrated success in using analytics to drive the understanding, growth, and success of a product. This position is located in our New York City office.","[{""elements"": [""Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with both our consumer and business products"", ""Partner with Product and Engineering teams to solve problems and identify trends and opportunities"", ""Inform, influence, support, and execute our product decisions and product launches"", ""The Data Scientist Analytics role has work across the following four areas:"", ""Product OperationsForecasting and setting product team goalsDesigning and evaluating experimentsMonitoring key product metrics, understanding root causes of changes in metricsBuilding and analyzing dashboards and reportsBuilding key data sets to empower operational and exploratory analysisEvaluating and defining metrics"", ""Forecasting and setting product team goals"", ""Designing and evaluating experiments"", ""Monitoring key product metrics, understanding root causes of changes in metrics"", ""Building and analyzing dashboards and reports"", ""Building key data sets to empower operational and exploratory analysis"", ""Evaluating and defining metrics"", ""Exploratory AnalysisProposing what to build in the next roadmapUnderstanding ecosystems, user behaviors, and long-term trendsIdentifying new levers to help move key metricsBuilding models of user behaviors for analysis or to power production systems"", ""Proposing what to build in the next roadmap"", ""Understanding ecosystems, user behaviors, and long-term trends"", ""Identifying new levers to help move key metrics"", ""Building models of user behaviors for analysis or to power production systems"", ""Product LeadershipInfluencing product teams through presentation of data-based recommendationsCommunicating state of business, experiment results, etc to product teamsSpreading best practices to analytics and product teams"", ""Influencing product teams through presentation of data-based recommendations"", ""Communicating state of business, experiment results, etc to product teams"", ""Spreading best practices to analytics and product teams"", ""Data InfrastructureWorking in Hadoop and Hive primarily, sometimes MySQL, Oracle, and VerticaAutomating analyses and authoring pipelines via SQL and python based ETL framework"", ""Working in Hadoop and Hive primarily, sometimes MySQL, Oracle, and Vertica"", ""Automating analyses and authoring pipelines via SQL and python based ETL framework""], ""type"": ""Responsibilities""}, {""elements"": [""2+ years experience doing quantitative analysis."", ""Experience in SQL or other programming languages."", ""Development experience in any scripting language (PHP, Python, Perl, etc.)"", ""Ability to communicate the results of analyses."", ""Understanding of statistics (e.g., hypothesis testing, regressions)."", ""Experience manipulating data sets through statistical software (ex. R, SAS) or other methods.""], ""type"": ""Minimum Qualifications""}, {""elements"": [""BA/BS in Computer Science, Math, Physics, Engineering, Statistics or other technical field. Advanced degrees."", ""Experience with distributed computing (Hive/Hadoop)""], ""type"": ""Preferred Qualifications""}]"
